Page,Score,Title,Description,Keywords,Canonical URL,Structured Data,H1 Count,Issues
AngleClosureGlaucomaEducationPage,55,"Angle-Closure Glaucoma: Emergency Eye Condition | Patient Education","Learn about angle-closure glaucoma, a serious eye emergency requiring immediate treatment. Comprehensive guide to symptoms, risk factors, and urgent treatment options.","angle-closure glaucoma, acute glaucoma, eye emergency, sudden eye pain, vision loss, Orange County","https://eyecarecenteroc.com/education/conditions/angle-closure-glaucoma",Yes,0,"Title too long (>60 chars); Description too long (>160 chars); Missing H1 tag; Improper heading hierarchy"
BacterialConjunctivitisPage,55,"Bacterial Conjunctivitis Treatment - Pink Eye Antibiotics | Dr. Bonakdar Orange County","Expert bacterial conjunctivitis (pink eye) treatment with prescription antibiotics. Dr. Bonakdar provides rapid relief and prevents spread in Orange County families and schools.","bacterial conjunctivitis, pink eye, bacterial pink eye, eye infection, conjunctivitis antibiotics, purulent discharge, sticky eyes, contagious pink eye, pediatric pink eye, Polytrim, ciprofloxacin eye drops, Dr. Bonakdar, Orange County eye infection, Santa Ana conjunctivitis treatment","https://eyecarecenteroc.com/education/conditions/bacterial-conjunctivitis",Yes,0,"Title too long (>60 chars); Description too long (>160 chars); Missing H1 tag; Improper heading hierarchy"
BlockedTearDuctEducationPage,55,"Blocked Tear Duct: Symptoms, Causes, and Treatment Options | Patient Education","Learn about blocked tear ducts, a condition causing excessive tearing and eye infections. Comprehensive guide to symptoms, causes, and treatment options from massage to surgery.","blocked tear duct, dacryostenosis, epiphora, excessive tearing, tear duct surgery, Orange County","https://eyecarecenteroc.com/education/conditions/blocked-tear-duct",Yes,0,"Title too long (>60 chars); Description too long (>160 chars); Missing H1 tag; Improper heading hierarchy"
CataractsEducationPage,75,"Cataracts: Symptoms, Causes, and Treatment | Patient Education","Learn about cataracts, including symptoms, causes, and treatment options. Comprehensive patient education from Orange County cataract specialists.","cataracts, cataract surgery, cloudy vision, lens replacement, patient education, Orange County","https://eyecarecenteroc.com/education/conditions/cataracts",Yes,0,"Title too long (>60 chars); Missing H1 tag; Improper heading hierarchy"
ChalazionStyePage,15,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; Improper heading hierarchy; No internal links found"
ChildhoodMyopiaEducationPage,75,"Childhood Myopia: Causes, Prevention, and Control | Orange County","Learn about childhood myopia (nearsightedness), its causes, and modern myopia control treatments. Expert pediatric eye care in Orange County.","childhood myopia, pediatric myopia, myopia control, children nearsightedness, ortho-k, atropine, Orange County pediatric eye care","https://eyecarecenteroc.com/education/conditions/childhood-myopia",Yes,0,"Title too long (>60 chars); Missing H1 tag; Improper heading hierarchy"
ConjunctivitisEducationPage,75,"Conjunctivitis (Pink Eye): Symptoms, Types, and Treatment | Patient Education","Learn about conjunctivitis (pink eye) - causes, symptoms, treatment options, and prevention. Understanding viral, bacterial, and allergic conjunctivitis.","conjunctivitis, pink eye, red eye, eye infection, viral conjunctivitis, bacterial conjunctivitis, allergic conjunctivitis","https://eyecarecenteroc.com/education/conditions/conjunctivitis",Yes,0,"Title too long (>60 chars); Missing H1 tag; Improper heading hierarchy"
CornealAbrasionEducationPage,75,"Corneal Abrasion: Emergency Eye Injury Treatment | Patient Education","Learn about corneal abrasions - scratches on the eye surface. Get immediate care information, symptoms, treatment, and prevention tips.","corneal abrasion, scratched cornea, eye injury, emergency eye care, foreign object in eye, patient education","https://eyecarecenteroc.com/education/conditions/corneal-abrasion",Yes,0,"Title too long (>60 chars); Missing H1 tag; Improper heading hierarchy"
CornealUlcerPage,55,"Corneal Ulcer Emergency Treatment - Infectious Keratitis | Dr. Bonakdar Orange County","Emergency corneal ulcer treatment and infectious keratitis care. Dr. Bonakdar provides immediate evaluation and aggressive treatment to prevent vision loss in Orange County.","corneal ulcer, infectious keratitis, bacterial keratitis, eye infection emergency, contact lens infection, corneal perforation, eye pain, vision loss, pseudomonas keratitis, fortified antibiotics, Dr. Bonakdar, Orange County emergency eye care, Santa Ana corneal specialist","https://eyecarecenteroc.com/education/conditions/corneal-ulcer",Yes,0,"Title too long (>60 chars); Description too long (>160 chars); Missing H1 tag; Improper heading hierarchy"
CrossedEyesStrabismusEducationPage,75,"Strabismus (Crossed Eyes): Causes, Treatment, and Surgery | Orange County","Learn about strabismus (crossed eyes) in children and adults. Expert diagnosis and treatment including eye muscle surgery in Orange County.","strabismus, crossed eyes, eye muscle surgery, pediatric eye care, eye alignment, double vision, Orange County eye doctor","https://eyecarecenteroc.com/education/conditions/crossed-eyes-strabismus",Yes,0,"Title too long (>60 chars); Missing H1 tag; Improper heading hierarchy"
